LIMIT_BAL,AGE,PAY_0,PAY_2,PAY_3,PAY_4,PAY_5,PAY_6,BILL_AMT1,BILL_AMT2,BILL_AMT3,BILL_AMT4,BILL_AMT5,BILL_AMT6,PAY_AMT1,PAY_AMT2,PAY_AMT3,PAY_AMT4,PAY_AMT5,PAY_AMT6,SEX_1,SEX_2,EDUCATION_1,EDUCATION_2,EDUCATION_3,EDUCATION_4,MARRIAGE_1,MARRIAGE_2,MARRIAGE_3,defaultPayment_label
340000,30,-1,-1,-1,-1,0,-1,8571,21012,10607,47258,35675,20691,21041,10607,47258,983,20691,23849,0,1,1,0,0,0,0,1,0,0
20000,37,0,-1,-1,-1,-1,-1,1439,1251,390,390,370,-20,1251,400,390,370,0,800,1,0,0,0,1,0,1,0,0,0
270000,41,-1,-1,-1,-1,-1,-1,316,316,316,571,7711,571,316,316,571,7711,571,571,1,0,1,0,0,0,1,0,0,0
120000,39,1,-1,2,2,-2,-2,0,780,780,0,0,0,1170,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
60000,47,-1,-1,-1,-1,-1,-1,696,696,696,696,696,696,696,696,696,696,696,380,0,1,0,0,1,0,0,1,0,1
140000,45,2,2,2,2,2,2,64393,65271,66606,64940,73677,75316,2500,3000,0,10000,3000,0,1,0,1,0,0,0,1,0,0,1
140000,39,0,0,0,0,0,0,108028,104626,101376,80840,75462,75957,3889,4412,3000,3000,3000,4000,0,1,0,0,1,0,1,0,0,0
90000,24,0,0,0,-2,-2,-2,77860,76387,0,0,0,0,3292,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
30000,26,1,2,0,0,0,-1,30739,29586,29412,18587,1558,4681,0,1331,49,5,5363,8,0,1,1,0,0,0,0,1,0,1
120000,24,0,0,0,0,-1,-1,3377,4644,8528,8200,3488,1161,2500,5000,1000,3488,1161,5036,0,1,1,0,0,0,0,1,0,0
280000,31,-2,-2,-2,-2,-2,-2,-6,-6,1345,-5,-5,985,0,1351,0,0,990,3090,1,0,1,0,0,0,1,0,0,0
100000,37,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,150,0,1,1,0,0,0,1,0,0,1
130000,36,0,0,0,0,0,0,129689,107070,103942,94623,90556,92394,5000,4400,5000,4000,3500,4000,0,1,1,0,0,0,1,0,0,0
200000,28,2,2,7,7,7,7,2443,2443,2443,2443,2443,2443,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1
30000,29,1,-2,-1,0,0,2,0,0,22015,22649,24583,25227,0,22015,1000,2300,1200,0,1,0,1,0,0,0,0,1,0,0
280000,38,1,-2,-1,-1,-1,-1,0,0,3898,1460,18901,0,0,3898,1460,18901,0,0,0,1,1,0,0,0,0,1,0,1
180000,28,0,0,0,0,0,0,49550,43015,50238,49461,43877,32411,3006,10017,2018,1022,2322,23023,0,1,1,0,0,0,0,1,0,0
160000,34,0,0,2,2,-2,-2,4763,4899,697,-1373,-1773,-1773,3009,0,1373,0,0,1040,0,1,0,0,1,0,1,0,0,0
330000,34,0,0,0,0,0,0,173630,178833,187820,190202,194964,199008,8000,12000,7000,8000,7287,7400,0,1,1,0,0,0,0,1,0,0
60000,27,0,0,0,2,2,2,27921,29954,33166,33528,32690,34661,2500,3700,1200,0,2500,2500,0,1,0,1,0,0,0,1,0,0
20000,23,0,0,0,0,0,0,16027,16740,17451,18141,18239,18302,1600,1600,1600,1000,663,654,0,1,0,1,0,0,0,1,0,0
20000,25,1,2,2,2,2,0,19242,20339,19707,20899,20450,20197,1700,0,1800,0,1000,900,1,0,0,1,0,0,0,1,0,0
250000,35,-2,-2,-2,-2,-2,-2,7244,8472,1738,6706,2391,11082,8514,1751,6739,2403,11137,13407,0,1,0,0,1,0,0,1,0,0
20000,39,0,0,0,2,2,3,8720,12241,16020,16457,20906,20289,4000,4000,1000,4750,0,600,0,1,0,0,1,0,0,1,0,1
280000,41,-1,-1,-1,-1,-1,-1,718,3910,1906,837,360,350,3927,1913,841,360,350,2095,1,0,1,0,0,0,1,0,0,0
50000,46,-2,-1,0,0,0,0,-1494,2590,3506,19792,19422,19830,7084,1000,19286,664,689,761,0,1,0,0,1,0,0,0,1,0
130000,30,0,0,0,0,0,0,16757,21481,22389,22535,24236,20246,5000,1598,744,2000,744,3000,1,0,1,0,0,0,0,1,0,0
110000,30,0,0,0,-1,2,2,35283,26000,9000,63853,59308,60576,1500,1500,63853,1500,2062,0,1,0,0,1,0,0,1,0,0,0
230000,34,-2,-2,-2,-2,-2,-2,711,-1,-1,-1,-1,-1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
50000,25,0,0,0,0,0,0,18164,19456,20486,21241,21788,23281,1900,1645,1400,900,2000,0,1,0,1,0,0,0,0,1,0,0
240000,41,1,-1,-1,-1,-1,-1,0,40529,3211,9795,11756,12522,40529,3211,9795,11756,12522,6199,0,1,0,1,0,0,1,0,0,0
180000,38,0,0,0,-2,-2,-2,9705,2170,0,0,0,0,1000,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0
20000,27,1,2,2,2,0,0,15678,15129,17973,31269,11401,8311,0,3100,0,2000,1000,2000,1,0,1,0,0,0,0,1,0,0
70000,25,0,0,0,0,0,-1,69334,66987,58055,44593,-1380,48757,3000,2213,1565,0,50137,1800,0,1,1,0,0,0,1,0,0,0
80000,37,-1,0,-1,-1,-1,-1,27695,15372,25919,18449,2655,20808,10000,25919,18449,2655,20808,0,0,1,1,0,0,0,1,0,0,1
90000,28,0,0,0,0,0,0,55779,51886,52495,47727,44404,35768,2100,2166,1400,1534,1300,665,1,0,0,1,0,0,0,1,0,0
10000,23,1,2,0,0,0,2,9020,8707,8519,9505,10127,9677,0,1391,1300,900,0,500,1,0,1,0,0,0,0,1,0,1
40000,27,1,2,0,0,0,0,11310,10842,12896,14675,17265,17974,0,2554,2000,3000,1000,3000,0,1,0,1,0,0,1,0,0,0
60000,28,0,0,0,0,0,0,58204,56930,56616,56749,57504,58296,2030,2083,1983,2200,2500,2200,0,1,0,1,0,0,0,1,0,0
20000,53,0,0,2,0,0,0,17614,19323,19694,20004,20159,20059,2000,1000,1000,1000,1000,800,1,0,0,0,1,0,1,0,0,1
450000,40,-1,-1,-1,-1,0,0,5453,25948,53938,14602,18065,19239,26731,55367,15174,10528,10037,48551,0,1,0,0,1,0,0,1,0,0
110000,28,0,0,0,0,0,0,35208,36619,38026,40332,41772,43052,2000,2000,3000,2000,2000,2000,0,1,0,1,0,0,0,1,0,1
160000,54,-1,2,-1,0,0,0,780,390,1560,1170,780,390,0,1560,0,0,0,390,1,0,0,0,1,0,1,0,0,1
420000,32,0,0,0,0,0,0,211688,205003,203118,198925,175684,164037,7300,8839,8000,5900,6000,6000,0,1,0,1,0,0,0,1,0,0
30000,23,0,0,-2,-2,-2,-2,4242,3891,1005,5308,8430,0,3915,1005,5308,8443,0,1120,0,1,1,0,0,0,0,1,0,0
150000,43,-2,-2,-2,-2,-2,-2,1622,12946,0,0,1761,18304,13016,0,0,1761,18306,4275,0,1,0,0,1,0,0,1,0,0
80000,52,0,0,0,0,0,0,77086,77411,78686,66217,56167,53190,3000,5086,1750,2012,1630,2165,0,1,0,0,1,0,0,0,1,0
230000,29,0,0,0,0,0,0,32375,36817,40170,43473,44663,47207,5000,5000,5000,3000,5000,5000,1,0,1,0,0,0,0,1,0,0
110000,35,0,0,0,0,0,0,46640,47686,48737,50157,51560,52965,1600,1600,2000,2000,2000,2000,0,1,0,1,0,0,1,0,0,0
160000,27,2,2,2,2,2,2,157818,161308,162923,161481,155819,168283,7500,5800,5700,0,18100,0,0,1,0,1,0,0,0,1,0,1
230000,33,0,0,0,0,0,0,56754,57171,56150,57074,50670,50652,3000,2100,2300,2000,2000,2000,1,0,1,0,0,0,0,1,0,0
260000,38,0,0,0,0,0,0,162820,153457,143580,133477,122545,120772,6024,6012,6000,5000,5000,4000,1,0,1,0,0,0,1,0,0,0
200000,43,0,0,0,0,0,0,200898,197438,200912,145658,146351,149667,10000,9000,6000,6000,6000,6000,0,1,1,0,0,0,1,0,0,0
50000,27,0,0,2,0,0,2,40688,43816,42816,43528,46258,47340,4100,0,1723,3600,2000,2780,1,0,1,0,0,0,0,1,0,0
80000,25,0,0,0,0,0,0,79029,76009,74908,41646,29297,30057,4000,3200,2230,1300,1410,1000,0,1,0,1,0,0,1,0,0,0
30000,43,2,0,0,0,0,0,30346,29885,20453,16076,15844,15785,1702,1531,1544,702,724,557,0,1,0,0,1,0,1,0,0,1
300000,48,1,3,2,-1,0,-1,-2,779,390,769,772,1722,781,1,769,3,1730,0,0,1,0,0,1,0,0,1,0,1
180000,26,-2,-2,-2,-2,-2,-2,4312,2117,5944,2102,10214,0,2117,5944,2102,10214,0,0,0,1,1,0,0,0,0,1,0,0
230000,27,0,0,0,0,0,0,10941,12058,13348,14620,15877,16611,1300,1500,1500,1500,1000,1500,0,1,1,0,0,0,0,1,0,0
110000,32,0,0,0,2,2,2,112380,113369,113214,108350,109072,106848,6200,9900,0,8007,0,5000,1,0,1,0,0,0,0,1,0,1
380000,30,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1
150000,28,2,0,0,0,0,0,89336,90337,84905,86814,73827,60284,4027,4004,5016,5004,3000,5005,0,1,0,1,0,0,0,1,0,1
170000,45,0,0,0,0,2,2,133341,133715,130591,138404,138733,137642,6804,6883,11600,5020,1200,4000,0,1,0,1,0,0,1,0,0,0
300000,27,0,0,0,0,0,-1,15024,12128,9775,7347,4026,4851,1200,1164,1069,81,4851,3333,0,1,0,1,0,0,0,1,0,0
160000,41,-1,-1,-1,-1,-1,-1,396,396,396,0,688,396,396,396,0,688,500,0,1,0,1,0,0,0,0,1,0,1
270000,27,0,0,0,0,0,0,21256,19819,19200,18527,18413,18010,1618,1569,631,652,637,541,1,0,0,1,0,0,1,0,0,0
230000,43,-1,-1,-1,-1,-1,-1,3451,5560,1180,8563,5180,2524,5587,1186,8605,5201,2532,4759,0,1,0,1,0,0,1,0,0,0
260000,65,0,0,0,0,0,0,225028,188891,174617,178214,182251,186144,8165,6500,6500,7000,7000,7500,0,1,0,0,1,0,1,0,0,0
310000,32,1,2,0,0,2,0,310392,301861,225003,234185,222139,224655,56,9950,17828,9,7951,8070,1,0,1,0,0,0,1,0,0,0
100000,49,0,-1,-1,-1,0,0,5532,5325,5423,29628,13252,3723,5325,5423,29628,0,0,3513,0,1,0,1,0,0,1,0,0,0
580000,36,0,0,0,0,0,0,159760,162189,166127,169365,168755,167964,6422,6565,5951,6006,5894,5946,0,1,1,0,0,0,1,0,0,0
160000,29,0,0,-1,-1,-1,-1,36134,21827,421,421,2876,1949,21000,421,421,2876,1949,8090,0,1,0,1,0,0,0,1,0,1
230000,30,-2,-2,-2,-2,-2,-2,0,0,846,846,0,846,0,846,846,0,846,500,0,1,1,0,0,0,0,1,0,0
180000,44,0,0,2,0,0,0,7668,10006,7996,8960,6310,4656,2489,0,1166,126,112,244,0,1,1,0,0,0,0,1,0,1
180000,39,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
280000,31,0,0,0,0,0,2,164736,170564,150666,133465,133536,132964,8833,12005,5000,8000,3000,5000,1,0,1,0,0,0,0,1,0,0
300000,34,-2,-2,-2,-2,-2,-2,-75,29014,21180,-20,-20,4045,29089,21286,0,0,4065,0,0,1,0,0,1,0,1,0,0,0
500000,37,1,-1,-1,-1,-1,0,0,17250,2287,96501,12143,50143,17250,3037,96501,12500,38000,0,0,1,1,0,0,0,1,0,0,0
50000,29,0,0,2,0,0,-1,7334,7344,5420,4104,1596,1594,2500,0,1596,0,1594,0,1,0,0,0,1,0,0,1,0,1
130000,39,1,2,2,2,2,2,71034,69329,74175,72383,77217,75820,0,6000,0,6000,0,6000,1,0,0,0,1,0,0,1,0,0
30000,30,4,3,2,2,2,0,30562,29809,28920,29887,29525,25006,0,0,1900,15,1030,30802,1,0,0,1,0,0,0,1,0,0
120000,47,-1,0,0,-1,-1,-1,7301,4542,3390,460,338,679,2327,1083,500,350,700,500,0,1,0,0,1,0,0,1,0,0
240000,32,-1,-1,-1,-1,-1,-1,4717,11980,0,473,11483,11886,11980,0,473,11483,11886,690,1,0,0,0,1,0,0,1,0,0
100000,35,0,0,0,2,2,0,65451,72277,78115,79244,77373,78973,8000,7000,3000,0,3000,6000,1,0,1,0,0,0,1,0,0,0
310000,38,-1,-1,-1,-1,0,0,1276,3666,2779,3140,1831,5347,3666,2787,3140,0,5347,1420,0,1,0,1,0,0,0,1,0,0
400000,45,-1,-1,-1,-1,-1,-1,9083,12641,15377,14757,44843,6622,12658,15384,14757,44843,6622,6309,0,1,0,1,0,0,1,0,0,0
240000,33,0,0,0,0,0,-1,23486,19867,14653,8626,0,1128,3000,2000,0,1790,1128,0,1,0,0,1,0,0,1,0,0,0
330000,42,-1,-1,-1,-1,-1,-1,899,7445,0,3899,2707,8000,7448,0,3899,2707,8000,0,0,1,1,0,0,0,1,0,0,0
50000,31,2,2,3,2,2,2,39193,42816,42838,43335,44220,45159,4600,1000,1500,1900,1800,1200,0,1,0,1,0,0,0,0,1,1
410000,30,-2,-2,-2,-2,-2,-2,7011,9173,7259,8430,5130,5064,9222,8036,8542,5155,5089,18270,1,0,0,1,0,0,0,1,0,0
380000,31,0,0,0,0,0,0,167061,158903,275057,156348,153778,139177,6000,6010,5209,5000,5000,4000,1,0,1,0,0,0,0,1,0,0
80000,26,0,0,0,0,0,0,75405,75681,72263,50312,49878,50101,3000,2200,1730,1800,2500,3000,0,1,0,1,0,0,1,0,0,0
80000,60,-2,-2,-2,-2,-2,-2,577,494,438,387,246,939,500,438,387,246,939,350,0,1,0,1,0,0,0,1,0,0
130000,41,-1,0,-1,-1,-1,-1,2538,1866,1349,1609,635,849,1177,1349,1609,635,849,2893,0,1,0,1,0,0,1,0,0,0
500000,39,-1,-1,-1,-1,0,-1,2450,11833,22963,7086,5453,1486,11833,22963,7086,0,1486,7570,1,0,1,0,0,0,0,1,0,0
310000,33,-2,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
250000,48,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
50000,41,0,0,0,0,0,0,13868,13060,11151,7921,6949,4716,1227,1073,230,241,138,1191,1,0,0,0,1,0,1,0,0,0
250000,42,1,1,1,1,2,2,352016,341600,321232,307354,285901,272322,15210,8273,8100,100,8942,254000,1,0,1,0,0,0,1,0,0,1
170000,39,0,0,0,0,0,0,143339,125864,112300,110371,113685,98489,20000,6000,5000,5000,3000,2000,1,0,0,1,0,0,1,0,0,0
310000,42,0,0,0,0,0,0,286506,262830,210583,210982,126502,102999,9297,8311,6928,3539,2991,2672,1,0,0,1,0,0,1,0,0,0
340000,34,-1,0,0,0,0,0,335002,319219,271435,267100,263741,267488,12510,12101,10045,10010,10000,9800,1,0,0,1,0,0,1,0,0,1
50000,31,1,-2,-2,-2,-1,-1,0,0,0,0,414,0,0,0,0,414,0,0,0,1,0,0,1,0,1,0,0,0
130000,43,0,0,0,0,0,0,126965,130067,129385,96775,98071,97743,6739,5540,4403,3814,3562,4021,0,1,0,0,1,0,1,0,0,1
360000,36,0,0,0,0,0,0,83412,77205,16250,13600,12640,0,3700,1123,500,640,0,0,0,1,0,1,0,0,0,1,0,0
90000,26,2,0,0,0,0,0,89947,91929,88433,88010,87814,87831,5000,4300,3500,3500,3700,3100,0,1,0,1,0,0,1,0,0,0
60000,33,0,0,0,0,0,0,57810,56189,58283,59385,57792,59010,2100,3000,2800,2000,2000,2200,0,1,0,1,0,0,1,0,0,0
20000,36,-1,-1,-1,0,0,0,3152,0,4956,10148,6979,8353,0,4956,200,2000,1500,500,1,0,0,1,0,0,0,1,0,0
80000,25,0,0,0,0,0,0,80804,81390,81700,79080,59873,60520,3000,3058,9013,2200,2200,2500,0,1,0,0,1,0,0,1,0,0
700000,50,-2,-2,-2,-2,-2,-2,3528,2018,2131,5746,733,2913,2024,2131,5750,733,2917,2131,1,0,0,1,0,0,1,0,0,0
80000,25,0,0,0,0,0,0,47836,49038,53158,48269,48019,46908,2000,5000,2000,2000,2000,2000,0,1,0,1,0,0,0,1,0,0
30000,24,-1,-1,-1,-2,-2,-2,784,4184,0,0,0,0,4200,1000,0,0,0,0,0,1,0,1,0,0,0,1,0,0
20000,23,0,0,3,2,2,0,16918,20627,19985,19702,18395,18763,4000,1,651,0,655,653,0,1,1,0,0,0,0,1,0,0
80000,38,0,0,0,0,0,0,19277,20060,20977,20695,18587,20767,1400,1306,1019,685,2500,0,1,0,0,0,1,0,1,0,0,0
30000,43,2,2,2,2,2,2,15780,15246,17838,17272,18131,17711,0,3141,0,1434,0,1581,0,1,0,1,0,0,1,0,0,1
30000,56,-1,0,0,-2,-2,-2,29033,17013,7024,7024,7024,7024,1283,7024,7024,7024,7024,7024,0,1,1,0,0,0,0,1,0,0
50000,64,0,0,0,0,0,-1,48369,44762,17403,17907,19000,18055,2384,5461,2872,1093,19055,2239,1,0,0,1,0,0,1,0,0,0
150000,41,2,2,2,2,0,0,116699,113358,124745,121249,124237,132252,0,14779,0,5000,10000,5000,1,0,1,0,0,0,1,0,0,1
50000,22,2,2,-2,-2,-2,-2,4536,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1
120000,25,0,0,-1,0,0,-1,8676,10599,5814,4426,3038,5184,5000,5814,0,0,5184,7048,0,1,1,0,0,0,0,1,0,0
50000,39,0,0,0,0,0,0,41598,35995,33059,32663,29608,28939,1825,1593,1458,1186,1198,1114,0,1,0,1,0,0,1,0,0,0
200000,49,-1,-1,0,0,0,-1,7697,18951,27974,30596,38109,22170,20071,20036,15022,15113,22235,3919,0,1,0,0,1,0,0,1,0,0
70000,24,1,2,0,0,2,0,71017,64454,64182,30351,29826,29699,0,1809,2500,0,2000,1500,0,1,1,0,0,0,0,1,0,0
180000,41,0,0,0,0,0,0,183047,182506,183363,183013,142048,142570,6704,6973,7023,7000,6000,5357,1,0,0,0,1,0,0,1,0,0
100000,29,0,0,-1,-1,-1,-1,51183,-1478,1261,1044,-217,522,0,4000,1044,0,2000,2000,1,0,0,1,0,0,0,1,0,0
150000,32,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1
110000,26,0,0,0,0,0,0,64767,67724,49104,51202,50289,50528,6000,2000,3000,2000,2000,3000,1,0,1,0,0,0,0,1,0,0
160000,39,0,0,-2,-2,-1,-1,106260,0,0,0,390,86188,0,0,0,390,86188,3272,0,1,0,1,0,0,1,0,0,0
210000,40,0,0,0,0,0,0,160292,144217,123657,112910,97400,9806,3720,3229,3165,1979,9806,390,0,1,0,0,1,0,1,0,0,0
210000,31,-2,-2,-2,-2,-1,-1,1440,0,7422,893,6082,2293,0,7422,893,6082,2293,3299,0,1,1,0,0,0,0,1,0,0
50000,25,1,-1,2,-1,0,-1,6300,3395,3180,1831,1868,3300,9195,0,1831,37,3300,289,1,0,1,0,0,0,0,0,1,1
30000,37,3,3,3,2,0,0,27672,28911,29163,28380,28636,30290,2000,1000,0,1000,2100,1500,0,1,0,1,0,0,1,0,0,1
50000,26,1,2,0,0,0,0,48421,42779,34992,25916,27207,26192,0,1424,1500,1677,1500,1500,0,1,0,0,1,0,1,0,0,1
160000,27,1,-2,-1,0,0,-2,0,0,6204,6204,0,0,0,6204,0,0,0,0,0,1,0,1,0,0,0,1,0,0
20000,44,0,0,2,3,2,2,11007,15010,15767,15223,14837,16083,4525,1300,0,0,1495,3198,1,0,0,0,1,0,1,0,0,0
50000,24,-2,-2,-2,-1,0,0,50096,49917,0,24415,25305,25775,1000,0,24415,1295,1275,0,0,1,0,1,0,0,0,1,0,0
260000,34,-2,-2,-2,-2,-2,-2,0,0,0,167,-810,-810,0,0,167,810,0,3310,0,1,0,1,0,0,1,0,0,0
70000,30,-1,2,-1,2,-1,-1,832,416,832,416,416,1132,0,832,0,416,1132,0,1,0,1,0,0,0,0,1,0,0
80000,26,0,0,0,0,0,0,80919,77264,79332,80969,79144,79023,3000,3700,4000,3000,3300,3050,0,1,0,1,0,0,0,1,0,0
160000,29,-2,-2,-2,-2,-2,-2,0,368,0,850,763,0,368,0,850,763,0,1381,0,1,1,0,0,0,0,1,0,0
240000,44,0,-1,-1,-2,-1,0,8421,14201,-28,-401,5109,7001,14230,0,0,7000,2000,3919,1,0,0,1,0,0,1,0,0,0
170000,25,0,0,0,0,0,0,112367,106345,91409,90720,83208,83956,5451,4456,2992,3000,3200,3200,1,0,1,0,0,0,0,1,0,0
20000,26,1,-2,-2,-2,-2,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1
270000,27,0,0,0,0,0,0,196192,200750,204418,197854,173743,149095,9000,9500,8929,7265,5400,5300,0,1,1,0,0,0,0,1,0,0
